name,score
Philip Seymour Hoffman,3.70756
George Clooney,3.55325
Joel McKinnon Miller,3.50512
John Goodman,3.35802
Emma Bell,3.27484
Liam Neeson,3.07559
Benedict Cumberbatch,2.99078
Seth Rogen,2.95693
Brad Pitt,2.88363
Christopher Plummer,2.86845
Lottie Steer,2.86005
Karin Konoval,2.8277
Kristen Wiig,2.81142
Jordana Brewster,2.80683
Buck Taylor,2.75368
Liam Hemsworth,2.7518
Jake Gyllenhaal,2.69723
Lauren Bittner,2.67914
Hiroyuki Sanada,2.6427
Richard Armitage,2.62004
Matt Damon,2.58236
Josh Duhamel,2.56242
Justin Timberlake,2.55728
F. Murray Abraham,2.49243
Gerard Butler,2.4398
Drew Barrymore,2.43412
Daniel Craig,2.41909
Mathieu Amalric,2.36906
Ralph Fiennes,2.34322
Gwyneth Paltrow,2.30827
Mickey Rourke,2.28903
Lena Headey,2.2712
Jai Courtney,2.24318
Hugh Jackman,2.23037
Pen_lope Cruz,2.21559
Diane Kruger,2.18696
Rooney Mara,2.17117
FranÂçois Cluzet,2.14915
Jamie Foxx,2.13072
Natalie Portman,2.12341
Kevin Hart,2.09297
Benjamin Bratt,2.08484
Sebastian Stan,2.07427
Will Rothhaar,2.05385
Ben Kingsley,2.05245
Jason Lee,2.04125
Andy Serkis,2.02883
James Corden,2.02841
Emma Stone,2.01857
Hayley Atwell,2.00752
Chris Rock,1.99635
Dickie Gravois,1.98144
Emma Watson,1.96867
Keira Knightley,1.94482
Cate Blanchett,1.9249
Jessica Lowndes,1.91574
Zheng Xu,1.91061
Rihanna,1.89101
Dustin Hoffman,1.88386
Mila Kunis,1.88211
Michelle Monaghan,1.87404
Lily James,1.86068
Tom Hiddleston,1.85266
Shailene Woodley,1.85252
Jeremy Irvine,1.8492
Tom Cruise,1.84201
Robert De Niro,1.82884
Anna Kendrick,1.8014
Chris Pratt,1.79901
Bill Hader,1.78426
Isla Fisher,1.78174
Lisa Adam,1.77623
Tom McGrath,1.77409
Daren Kagasoff,1.76737
Dylan O'Brien,1.7654
Christopher Nicholas Smith,1.76396
Angelina Jolie,1.7585
Finley Jacobsen,1.75833
Charlie Hunnam,1.75461
Jude Law,1.74391
Mekhi Phifer,1.72964
Jennifer Ehle,1.72117
Scoot McNairy,1.7149
Scott Adsit,1.71437
Eric Bauza,1.71274
Owen Wilson,1.70583
Bruce Willis,1.69781
Rob Riggle,1.69612
Greg Kinnear,1.68855
Ko Shibasaki,1.68601
Miles Fisher,1.67568
Jay Chou,1.66679
Kevin Kline,1.65217
Kit Harington,1.63427
Quvenzhan_ Wallis,1.63411
Nicholas Hoult,1.62083
Kristin Chenoweth,1.59277
Ashton Kutcher,1.59043
Aml Ameen,1.58732
Dev Patel,1.57617
Michael Douglas,1.57599
Forest Whitaker,1.56718
Olivia Cooke,1.56591
Sharlto Copley,1.55624
Anushka Sharma,1.54277
Paul Walker,1.54171
Peter Mullan,1.53803
Kurt Fuller,1.52978
Ansel Elgort,1.52956
Jason Statham,1.52835
Helen George,1.52498
Idris Elba,1.52282
Tom Wilkinson,1.52209
Rosie Huntington-Whiteley,1.5176
Annie Rose Buckley,1.51127
Dwayne Johnson,1.50901
Ice Cube,1.5056
Jonathan Groff,1.50167
Sebastian Koch,1.49187
Timothy Olyphant,1.48889
Felicity Jones,1.48475
Harrison Ford,1.47931
Eva Green,1.46668
Steve Buscemi,1.46581
Melissa McCarthy,1.46036
Mark Strong,1.46017
Jamie Bell,1.45907
Gia Mantegna,1.45488
Kevin Nealon,1.45357
Chiwetel Ejiofor,1.4533
Chris Pine,1.45172
Kenny Chin,1.45021
Terry Crews,1.44821
Billy Crystal,1.44464
Chris Miller,1.44369
Marton Csokas,1.43714
Cameron Diaz,1.43492
Frank Aldridge,1.43455
