name,score
FranÂçois Cluzet,4.2119
Omar Sy,4.21078
Anne Le Ny,4.207
Mackenzie Foy,4.1384
Ellen Burstyn,4.13753
Matthew McConaughey,4.13552
F. Murray Abraham,4.11172
Ralph Fiennes,4.11014
Mathieu Amalric,4.11009
Rosamund Pike,4.04838
Ben Affleck,4.04687
Kenny Chin,4.03342
Matthew Goode,4.00667
Dwight Henry,4.00543
Keira Knightley,4.00539
Dickie Gravois,4.00534
Chiwetel Ejiofor,4.00503
Benedict Cumberbatch,3.99939
B_r_nice Bejo,3.9653
Jean Dujardin,3.96307
Neil Patrick Harris,3.95166
Sophie Kennedy Clark,3.94567
Steve Coogan,3.94439
Bryce Dallas Howard,3.94432
Viola Davis,3.94
Rooney Mara,3.93049
Brendan Gleeson,3.92987
Chris Pratt,3.92897
Dave Bautista,3.9285
Leonardo DiCaprio,3.92845
Kurt Fuller,3.92705
Rachel McAdams,3.92606
Margot Robbie,3.92333
Christopher Plummer,3.91649
Ed Harris,3.90344
Alan Rickman,3.8924
Daniel Radcliffe,3.89114
Emma Watson,3.88934
Philip Seymour Hoffman,3.88796
Miori Takimoto,3.8652
Sandra Bullock,3.84979
Zoe Saldana,3.84933
Daniel Henney,3.83984
Eddie Redmayne,3.83763
Judi Dench,3.83656
Craig Berry,3.83653
Elizabeth Banks,3.83555
Scott Adsit,3.8342
Hidetoshi Nishijima,3.83317
Felicity Jones,3.83189
Ryan Potter,3.83143
Emma Stone,3.82771
Jonah Hill,3.82374
Jake Gyllenhaal,3.82089
Tom Prior,3.8199
John Goodman,3.8195
Hideaki Anno,3.81155
Michael Fassbender,3.80925
Laurence Belcher,3.79473
George Clooney,3.78929
Michelle Monaghan,3.78805
Zachary Quinto,3.78751
Chris Pine,3.78745
Michael Keaton,3.78507
James McAvoy,3.78134
Brad Pitt,3.77692
Ansel Elgort,3.77613
Vera Farmiga,3.76946
Abbie Cornish,3.76793
Owen Wilson,3.76267
Patrick Pearson,3.76213
Will Arnett,3.76128
Tom Wilkinson,3.76031
Emily Blunt,3.75882
Ryan Gosling,3.75814
Emma Thompson,3.75582
Annie Rose Buckley,3.75452
Tom Hanks,3.75429
Samuel L. Jackson,3.75057
Tom Cruise,3.74941
Jon Daly,3.74657
Hugh Jackman,3.7448
Sacha Baron Cohen,3.74375
Ben Kingsley,3.74297
Jay Baruchel,3.74114
Christian Bale,3.7399
Cate Blanchett,3.73668
Jack Quaid,3.73602
Robert De Niro,3.73166
Julianne Moore,3.7287
Martin Freeman,3.72843
Ian McKellen,3.72619
Richard Armitage,3.72402
Amara Miller,3.72402
Nat Wolff,3.72377
Jason Clarke,3.72306
Jude Law,3.71624
Steve Carell,3.71545
Noomi Rapace,3.71545
Karin Konoval,3.71423
Terry Notary,3.71351
Simon Pegg,3.70853
Liam Hemsworth,3.69947
Jennifer Lawrence,3.69597
Benjamin Bratt,3.69443
Paula Patton,3.69334
Kristen Wiig,3.69
Daniel Craig,3.68993
Andy Serkis,3.68824
Asa Butterfield,3.68453
David Banner,3.68401
Taylor Kitsch,3.68073
Robert Downey Jr.,3.67735
Emile Hirsch,3.67564
Kristen Bell,3.67408
Jonathan Groff,3.67273
Steve Buscemi,3.66718
Shailene Woodley,3.66523
Billy Crystal,3.66482
Idina Menzel,3.66435
Lili Taylor,3.66427
Jamie Bell,3.65767
Adrian Quinton,3.65449
Amy Adams,3.65009
Chris Evans,3.64702
Don Cheadle,3.64088
Gwyneth Paltrow,3.63818
Patrick Wilson,3.637
Gerard Butler,3.63459
Bradley Cooper,3.63059
Josie Ho,3.62893
Scarlett Johansson,3.6232
Lisa Thoreson,3.62318
Tien You Chui,3.61813
Maya Rudolph,3.61312
Terry Crews,3.61244
Marton Csokas,3.61178
Lisa Adam,3.60645
Peter Stormare,3.60571
Chris Cooper,3.60526
Colin Firth,3.60433
Frank Aldridge,3.60342
Sebastian Stan,3.6025
Hayley Atwell,3.60128
Amitabh Bachchan,3.60067
Isla Fisher,3.59938
Diane Kruger,3.59701
Michael Rainey Jr.,3.59689
Logan Lerman,3.59591
January Jones,3.59577
Abigail Breslin,3.59406
Jeremy Irvine,3.59115
Mark Strong,3.59034
Dustin Hoffman,3.58921
Jessica Tuck,3.589
Joel Courtney,3.58859
Jack Black,3.58828
Joel McKinnon Miller,3.58776
Emily Watson,3.57719
Peter Mullan,3.57533
Olga Kurylenko,3.57364
Hailee Steinfeld,3.57188
Gary Oldman,3.57074
Kyle Gallner,3.56938
Josh Hutcherson,3.56674
Jesse Eisenberg,3.56471
Mark Ruffalo,3.56001
ChloÂ« Grace Moretz,3.54399
Woody Harrelson,3.54092
Liam Neeson,3.5392
Forest Whitaker,3.53762
Angelina Jolie,3.53131
Cole Konis,3.52654
