name,score
Francis Lawrence,4.01934
Tate Taylor,3.75922
George Nolfi,3.55324
George Miller,3.05171
Peter Jackson,2.96703
Louis Leterrier,2.84956
Martin Scorsese,2.61055
John Moore,2.58046
Matthew Vaughn,2.4404
Glenn Ficarra,2.34591
Neil Burger,2.33469
Josh Boone,2.32871
Ariel Schulman,2.32024
Lee Daniels,2.27685
M. Night Shyamalan,2.23753
Jake Kasdan,2.19697
Steven Spielberg,2.07584
Steven Quale,2.05716
Steven Soderbergh,1.98167
Kris Pearn,1.93508
Alister Grierson,1.93435
Jonathan Liebesman,1.87107
Klay Hall,1.86398
Rob Marshall,1.8615
Neil Nightingale,1.83179
Antoine Fuqua,1.80506
Brian A Miller,1.76729
Anthony Russo,1.75191
Steve McQueen,1.74755
Gavin Hood,1.71771
Ben Stiller,1.71601
James Mangold,1.70888
Dan Scanlon,1.70626
Marc Forster,1.70339
Angelina Jolie,1.69808
Rawson Marshall Thurber,1.6959
Brett Ratner,1.69396
Jon Favreau,1.66862
Sam Raimi,1.6676
Neill Blomkamp,1.66687
Tarsem Singh,1.6565
David Yates,1.65557
Joseph Kosinski,1.64381
Clint Eastwood,1.63195
Sergei Bodrov,1.60734
David Ayer,1.57423
Ivan Reitman,1.56179
Miguel Arteta,1.53953
Jaume Collet-Serra,1.53329
Sean Anders,1.49671
Nicholas Stoller,1.47242
Hayao Miyazaki,1.46504
Andrew Niccol,1.46013
Graham Annable,1.458
Mark Neveldine,1.41896
Zack Snyder,1.35025
Don Hall,1.32416
Kenneth Branagh,1.29288
Gore Verbinski,1.2895
Chris Renaud,1.28889
John Madden,1.27944
Ben Falcone,1.27841
Cody Cameron,1.27673
Baz Luhrmann,1.27014
Barry Cook,1.26896
Stiles White,1.26095
Tim Johnson,1.25145
Brad Lewis,1.23728
Shane Black,1.22442
Sam Taylor-Johnson,1.2073
Kirk De Micco,1.20003
Michel Gondry,1.19837
Lana Wachowski,1.18817
Michael Bay,1.18539
Brad Bird,1.1589
Simon J. Smith,1.11885
Christopher Nolan,1.11299
Bobby Farrelly,1.10399
Justin Lin,1.10194
Frank Coraci,1.08689
Christopher Miller,1.07544
Paul Feig,1.07276
David Soren,1.07154
Marc Webb,1.05734
John R. Leonetti,1.04721
Martin Campbell,1.04192
Dean DeBlois,1.03931
Bryan Singer,1.02547
Carlos Saldanha,1.01999
Shawn Levy,1.00506
Alfonso Cuarå n,0.987268
Alan Taylor,0.986099
Wes Ball,0.974817
Kelly Asbury,0.974721
James Gunn,0.951506
Matt Reeves,0.911453
Raja Gosnell,0.899828
Olivier Nakache,0.899408
John Requa,0.899398
Tim Hill,0.888978
John Lee Hancock,0.887666
J.J. Abrams,0.887118
Joe Johnston,0.871346
David Peers,0.866002
David Fincher,0.863359
Woody Allen,0.854146
Jennifer Yuh Nelson,0.830909
David O. Russell,0.826467
Anthony Stacchi,0.820759
Alexander Payne,0.818101
Chris Buck,0.817884
Stephen Frears,0.81555
Jennifer Lee,0.79503
Rupert Wyatt,0.788534
Tim Story,0.78267
Etan Cohen,0.778195
Seth Gordon,0.761052
Dennis Dugan,0.756459
Robert Stromberg,0.740128
Guy Ritchie,0.737189
Denis Villeneuve,0.735434
Randall Wallace,0.729195
D.J. Caruso,0.72898
Thor Freudenthal,0.714734
Duncan Jones,0.693723
Eric Toledano,0.685979
Peter Berg,0.66987
Ridley Scott,0.658293
Oliver Parker,0.656937
Peter Farrelly,0.647282
Jos_ Padilha,0.643103
Luke Greenfield,0.637165
Garry Marshall,0.62874
Chris Williams,0.628474
Michel Hazanavicius,0.577851
Nick Cassavetes,0.563772
Bill Condon,0.557584
Pierre Coffin,0.555869
George Clooney,0.553638
Todd Phillips,0.547008
Phyllida Lloyd,0.544725
Jon M. Chu,0.541812
James Bobin,0.521929
Carl Rinsch,0.50572
Luc Besson,0.476244
Roberts Gannaway,0.475562
Baltasar Korm_kur,0.473364
Lilly Wachowski,0.473221
Phil Lord,0.449855
Rob Minkoff,0.443603
Mark Waters,0.441927
Henry Joost,0.428876
Morten Tyldum,0.426379
Gareth Edwards,0.417268
Paul W.S. Anderson,0.380238
Brian Taylor,0.369945
Adam McKay,0.36963
Mikael Hå¥fstr_m,0.368996
Seth Rogen,0.368206
Evan Goldberg,0.362854
Chris Sanders,0.351502
Wei Zhao,0.349912
Wally Pfister,0.340153
Doug Liman,0.328184
Guillermo del Toro,0.303374
Scott Waugh,0.29703
Will Gluck,0.296533
Bennett Miller,0.289626
Patrick Hughes,0.288889
Zheng Xu,0.287512
Rajkumar Hirani,0.27538
James Marsh,0.256312
Eric Darnell,0.253586
Roland Emmerich,0.229483
Jeff Tremaine,0.225717
Wes Anderson,0.216531
Olivier Megaton,0.20299
Gary Shore,0.196915
James DeMonaco,0.193773
Gary Eck,0.185373
Alejandro Gonz_lez I__rritu,0.184067
Noam Murro,0.166669
Cameron Crowe,0.162337
Jon Turteltaub,0.15948
Darren Aronofsky,0.157412
John Lasseter,0.148231
Jimmy Hayward,0.142719
Paul King,0.137245
Mike Mitchell,0.124679
Chris Wedge,0.120129
Robert Schwentke,0.0913338
James Wan,0.0608416
Joe Russo,0.0479658
Paul Tibbitt,0.0135093
