name,score
Eric Toledano,4.21551
Olivier Nakache,4.21319
Christopher Nolan,4.13999
Wes Anderson,4.1158
Alejandro Gonz_lez I__rritu,4.01813
Morten Tyldum,4.00743
Steve McQueen,4.007
David Fincher,3.97822
Michel Hazanavicius,3.9637
Rajkumar Hirani,3.95989
Stephen Frears,3.94874
Tate Taylor,3.94594
Denis Villeneuve,3.945
Doug Liman,3.94435
James Gunn,3.93353
Woody Allen,3.92962
Hayao Miyazaki,3.9123
Alfonso Cuarå n,3.90909
David Yates,3.89593
Bennett Miller,3.89143
Martin Scorsese,3.86443
James Marsh,3.84193
Chris Williams,3.83106
Don Hall,3.83084
Bryan Singer,3.80471
Matthew Vaughn,3.80181
David O. Russell,3.79637
David Ayer,3.79052
Duncan Jones,3.78942
John Madden,3.77733
Josh Boone,3.7684
Christopher Miller,3.76819
Phil Lord,3.76715
Glenn Ficarra,3.76209
John Requa,3.76209
John Lee Hancock,3.7615
Anthony Russo,3.75532
Ben Stiller,3.75482
Joe Russo,3.75402
Dean DeBlois,3.74666
Peter Jackson,3.72927
Matt Reeves,3.72491
Alexander Payne,3.72372
Guy Ritchie,3.72165
Rupert Wyatt,3.72023
Brad Bird,3.71424
J.J. Abrams,3.70647
Neil Burger,3.70474
Chris Renaud,3.69945
Pierre Coffin,3.69941
Francis Lawrence,3.69208
Peter Berg,3.67991
Chris Buck,3.67825
Jennifer Lee,3.67759
Lee Daniels,3.66755
Dan Scanlon,3.66536
Steven Spielberg,3.65275
Shane Black,3.64531
James Wan,3.63856
George Nolfi,3.62984
Steven Soderbergh,3.62239
Anthony Stacchi,3.61144
Baz Luhrmann,3.61082
Joe Johnston,3.60445
Gore Verbinski,3.60195
James Bobin,3.59935
Jennifer Yuh Nelson,3.59187
Graham Annable,3.59137
Gavin Hood,3.57888
Paul Feig,3.57821
Joseph Kosinski,3.57663
Alan Taylor,3.56644
Clint Eastwood,3.56545
Louis Leterrier,3.56477
Jaume Collet-Serra,3.56415
Kenneth Branagh,3.53824
Marc Forster,3.52507
Cameron Crowe,3.5241
Andrew Niccol,3.50456
Seth Gordon,3.50452
Zack Snyder,3.5032
Kirk De Micco,3.50072
Chris Sanders,3.49914
Justin Lin,3.47907
Rob Minkoff,3.47319
Angelina Jolie,3.46736
Rawson Marshall Thurber,3.46652
Robert Stromberg,3.46566
Guillermo del Toro,3.46413
Evan Goldberg,3.46035
Seth Rogen,3.45684
Neill Blomkamp,3.42812
Wes Ball,3.42086
Antoine Fuqua,3.41783
Shawn Levy,3.41711
Carlos Saldanha,3.40651
Phyllida Lloyd,3.38064
James Mangold,3.35106
Rob Marshall,3.34086
Cody Cameron,3.33784
Baltasar Korm_kur,3.32864
Kris Pearn,3.3264
Mikael Hå¥fstr_m,3.32575
Will Gluck,3.32098
Marc Webb,3.3077
Chris Wedge,3.29649
Luc Besson,3.27761
James DeMonaco,3.27686
Jon Turteltaub,3.26398
Eric Darnell,3.22909
George Clooney,3.22887
Roland Emmerich,3.22113
Brett Ratner,3.21483
Sam Raimi,3.21026
Nicholas Stoller,3.20542
Ivan Reitman,3.20461
Wally Pfister,3.20406
John Lasseter,3.19161
Paul King,3.19109
Jeff Tremaine,3.18756
Brad Lewis,3.18692
Adam McKay,3.18674
Sergei Bodrov,3.17722
Darren Aronofsky,3.16946
Todd Phillips,3.16895
Gary Shore,3.16695
Nick Cassavetes,3.1638
Henry Joost,3.16176
Sean Anders,3.15433
Jos_ Padilha,3.14594
Jon Favreau,3.14033
Gareth Edwards,3.13837
Scott Waugh,3.12941
Carl Rinsch,3.12215
David Soren,3.11011
Ariel Schulman,3.10296
Luke Greenfield,3.09352
Tarsem Singh,3.06969
George Miller,3.06331
Oliver Parker,3.06009
Michel Gondry,3.05879
Steven Quale,3.03708
Mark Waters,3.03533
Patrick Hughes,3.03303
Alister Grierson,3.01897
Simon J. Smith,3.01491
Ridley Scott,3.00734
David Peers,3.00708
D.J. Caruso,3.00331
Noam Murro,2.99062
Lilly Wachowski,2.98021
Jake Kasdan,2.97518
Kelly Asbury,2.96756
Gary Eck,2.96382
Jonathan Liebesman,2.96181
Thor Freudenthal,2.95735
Martin Campbell,2.95696
Olivier Megaton,2.94527
Dennis Dugan,2.94398
Michael Bay,2.92904
Jon M. Chu,2.92494
Paul W.S. Anderson,2.9097
Tim Hill,2.8755
Klay Hall,2.84444
Bobby Farrelly,2.82436
Lana Wachowski,2.82339
Frank Coraci,2.81314
Peter Farrelly,2.79639
Tim Story,2.78766
John Moore,2.75108
Garry Marshall,2.65898
M. Night Shyamalan,2.55902
Raja Gosnell,2.45285
John R. Leonetti,2.41114
Bill Condon,2.39975
Ben Falcone,2.32581
Robert Schwentke,2.19553
Mark Neveldine,2.18808
Paul Tibbitt,2.17732
Brian Taylor,2.15851
Roberts Gannaway,2.10793
Randall Wallace,2.08758
Jimmy Hayward,2.06886
Etan Cohen,1.95686
Mike Mitchell,1.84407
Miguel Arteta,1.74222
Stiles White,1.6917
Barry Cook,1.59385
Sam Taylor-Johnson,1.52377
Tim Johnson,1.27911
Zheng Xu,1.20487
Brian A Miller,1.20302
Neil Nightingale,0.927673
Wei Zhao,0.723779
